Gene.primaryIdentifier	Gene.secondaryIdentifier	Gene.symbol	Gene.name	Gene.description	Gene.qualifier	Gene.chromosome.primaryIdentifier	Gene.chromosomeLocation.start	Gene.chromosomeLocation.end	Gene.chromosomeLocation.strand
S000001634	YKL151C	NNR2	Nicotinamide Nucleotide Repair	Widely-conserved NADHX dehydratase; converts (S)-NADHX to NADH in ATP-dependent manner; YKL151C promoter contains STREs (stress response elements) and expression is induced by heat shock or methyl methanesulfonate; downstream intergenic region drives antisense expression and mediates coordinated regulation of YKL151C and GPM1 phosphoglycerate mutase; protein abundance increases in response to DNA replication stress; homolog of Carkd in mammals and C-terminus of YjeF in E.coli	Verified	chrXI	164917	165930	-1
S000001635	YKL152C	GPM1	Glycerate PhosphoMutase	Tetrameric phosphoglycerate mutase; mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis	Verified	chrXI	163642	164385	-1
S000001636	YKL153W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; transcription of both YLK153W and the overlapping essential gene GPM1 is reduced in the gcr1 null mutant	Dubious	chrXI	163600	164109	1
S000001637	YKL154W	SRP102	Signal Recognition Particle	Signal recognition particle (SRP) receptor beta subunit; involved in SRP-dependent protein targeting; anchors the alpha subunit, Srp101p to the ER membrane	Verified	chrXI	161601	162335	1
S000001638	YKL155C	RSM22	Ribosomal Small subunit of Mitochondria	Mitochondrial ribosomal protein of the small subunit; also predicted to be an S-adenosylmethionine-dependent RNA methyltransferase	Verified	chrXI	159456	161342	-1
S000001639	YKL156W	RPS27A	Ribosomal Protein of the Small subunit	Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S27, no bacterial homolog; RPS27A has a paralog, RPS27B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	Verified	chrXI	158613	159212	1
S000001640	YKL157W	APE2	AminoPEptidase	Aminopeptidase yscII; may have role in obtaining leucine from dipeptide substrates; targeted to vacuole via Vps10p-dependent endosomal vacuolar protein sorting pathway; APE2 has a paralog, AAP1, that arose from the whole genome duplication	Verified	chrXI	154991	158232	1
S000001642	YKL159C	RCN1	Regulator of CalciNeurin	Protein involved in calcineurin regulation during calcium signaling; has similarity to H. sapiens DSCR1 which is found in the Down Syndrome candidate region	Verified	chrXI	153816	154451	-1
S000001643	YKL160W	ELF1	ELongation Factor	Transcription elongation factor with a conserved zinc finger domain; implicated in the maintenance of proper chromatin structure in actively transcribed regions; deletion inhibits Brome mosaic virus (BMV) gene expression	Verified	chrXI	153269	153706	1
S000001644	YKL161C	KDX1	Kinase Dead X-talker	Protein kinase; implicated in Slt2p mitogen-activated (MAP) kinase signaling pathway; interacts with numerous components in the mating pheromone and CWI MAPK pathways; associates with Rlm1p; KDX1 has a paralog, SLT2, that arose from the whole genome duplication	Verified	chrXI	149386	150687	-1
S000001645	YKL162C	""	""	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion	Uncharacterized	chrXI	147630	148838	-1
S000001646	YKL163W	PIR3	Protein containing Internal Repeats	O-glycosylated covalently-bound cell wall protein; required for cell wall stability; expression is cell cycle regulated, peaking in M/G1 and also subject to regulation by the cell integrity pathway; coding sequence contains length polymorphisms in different strains; PIR3 has a paralog, HSP150, that arose from the whole genome duplication	Verified	chrXI	144401	145378	1
S000001647	YKL164C	PIR1	Protein containing Internal Repeats	O-glycosylated protein required for cell wall stability; attached to the cell wall via beta-1,3-glucan; mediates mitochondrial translocation of Apn1p; expression regulated by the cell integrity pathway and by Swi5p during the cell cycle; PIR1 has a paralog, YJL160C, that arose from the whole genome duplication	Verified	chrXI	141794	142819	-1
S000001648	YKL165C	MCD4	Morphogenesis Checkpoint Dependent	Protein involved in GPI anchor synthesis; multimembrane-spanning protein that localizes to the endoplasmic reticulum; highly conserved among eukaryotes; GPI stands for glycosylphosphatidylinositol	Verified	chrXI	137932	140691	-1
S000001649	YKL166C	TPK3	Takashi's Protein Kinase	cAMP-dependent protein kinase catalytic subunit; promotes vegetative growth in response to nutrients via the Ras-cAMP signaling pathway; partially redundant with Tpk1p and Tpk2p; localizes to P-bodies during stationary phase; TPK3 has a paralog, TPK1, that arose from the whole genome duplication	Verified	chrXI	134509	135705	-1
S000001650	YKL167C	MRP49	Mitochondrial Ribosomal Protein	Mitochondrial ribosomal protein of the large subunit; not essential for mitochondrial translation	Verified	chrXI	133721	134134	-1
S000001651	YKL168C	KKQ8	""	Putative serine/threonine protein kinase with unknown cellular role; KKQ8 has a paralog, HAL5, that arose from the whole genome duplication	Verified	chrXI	131288	133462	-1
S000001652	YKL169C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene MRPL38	Dubious	chrXI	130685	131068	-1
S000001653	YKL170W	MRPL38	Mitochondrial Ribosomal Protein, Large subunit	Mitochondrial ribosomal protein of the large subunit; appears as two protein spots (YmL34 and YmL38) on two-dimensional SDS gels; protein abundance increases in response to DNA replication stress	Verified	chrXI	130634	131050	1
S000001654	YKL171W	NNK1	Nitrogen Network Kinase	Protein kinase; implicated in proteasome function; interacts with TORC1, Ure2 and Gdh2; overexpression leads to hypersensitivity to rapamycin and nuclear accumulation of Gln3; epitope-tagged protein localizes to the cytoplasm	Verified	chrXI	127475	130261	1
S000001655	YKL172W	EBP2	EBNA1-binding protein (homolog)	Protein required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering	Verified	chrXI	125759	127042	1
S000001656	YKL173W	SNU114	Small NUclear ribonucleoprotein associated	GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2	Verified	chrXI	122517	125543	1
S000001657	YKL174C	TPO5	Transporter of POlyamines	Protein involved in excretion of putrescine and spermidine; putative polyamine transporter in the Golgi or post-Golgi vesicles	Verified	chrXI	120380	122236	-1
S000001658	YKL175W	ZRT3	Zinc-Regulated Transporter	Vacuolar membrane zinc transporter; transports zinc from storage in vacuole to cytoplasm when needed; transcription induced under conditions of zinc deficiency; targeted to vacuole via AP-3 pathway	Verified	chrXI	118793	120304	1
S000001659	YKL176C	LST4	Lethal with Sec Thirteen	Subunit of the Lst4p-Lst7p GTPase activating protein complex for Gtr2p; stimulates the GTPase activity of Rag family GTPase Gtr2p, within the context of the Gtr1p-Gtr2p heterodimer, after amino acid stimulation; required for activation of TORC1 in response to amino acid stimulation; recruited to the vacuolar membrane during amino acid starvation and released from the membrane by TORC1; required for the transport of amino acid permease Gap1p from the Golgi to the cell surface	Verified	chrXI	115500	117986	-1
S000001660	YKL177W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene STE3	Dubious	chrXI	114356	114694	1
S000001661	YKL178C	STE3	STErile	Receptor for a factor pheromone; couples to MAP kinase cascade to mediate pheromone response; transcribed in alpha cells and required for mating by alpha cells, ligand bound receptors endocytosed and recycled to the plasma membrane; GPCR	Verified	chrXI	113215	114627	-1
S000001662	YKL179C	COY1	CASP Of Yeast	Golgi membrane protein with similarity to mammalian CASP; packaged into COPII vesicles for trafficking between ER and Golgi; genetic interactions with GOS1 (encoding a Golgi snare protein) suggest a role in Golgi function	Verified	chrXI	110464	112503	-1
S000001663	YKL180W	RPL17A	Ribosomal Protein of the Large subunit	Ribosomal 60S subunit protein L17A; required for processing of 27SB pre-rRNA and formation of stable 66S assembly intermediates; copurifies with the Dam1 complex (aka DASH complex); homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17A has a paralog, RPL17B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress	Verified	chrXI	109269	110129	1
S000001664	YKL181W	PRS1	PhosphoRibosylpyrophosphate Synthetase	5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase; synthesizes PRPP, which is required for nucleotide, histidine, and tryptophan biosynthesis; plays a key role in cell wall integrity (CWI) pathway; one of five related enzymes, which are active as heteromultimeric complexes; missense mutations in human homolog PRPS1 are associated with neuropathic Arts syndrome and Charcot-Marie Tooth (CMTX5) disease	Verified	chrXI	107316	108599	1
S000001665	YKL182W	FAS1	Fatty Acid Synthetase	Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities; specific target of the broad-spectrum antifungal NPD6433	Verified	chrXI	100671	106826	1
S000001666	YKL183W	LOT5	LOw Temperature-responsive	Protein of unknown function; gene expression increases in cultures shifted to a lower temperature; protein abundance increases in response to DNA replication stress	Verified	chrXI	98721	99641	1
S000001667	YKL184W	SPE1	SPErmidine auxotroph	Ornithine decarboxylase; catalyzes the first step in polyamine biosynthesis; degraded in a proteasome-dependent manner in the presence of excess polyamines; deletion decreases lifespan, and increases necrotic cell death and ROS generation	Verified	chrXI	96757	98157	1
S000001668	YKL185W	ASH1	Asymmetric Synthesis of HO	Component of the Rpd3L histone deacetylase complex; zinc-finger inhibitor of HO transcription; mRNA is localized and translated in the distal tip of anaphase cells, resulting in accumulation of Ash1p in daughter cell nuclei and inhibition of HO expression; potential Cdc28p substrate	Verified	chrXI	94499	96265	1
S000001669	YKL186C	MTR2	Mrna TRansport	mRNA transport regulator; essential nuclear protein; Mex67p and Mtr2p form a mRNA export complex which binds to RNA	Verified	chrXI	92744	93298	-1
S000001670	YKL187C	FAT3	FATty acid transporter	Protein required for fatty acid uptake; protein abundance increases in cortical patches in response to oleate exposure; the authentic, non-tagged protein is detected in a phosphorylated state in highly purified mitochondria in high-throughput studies; FAT3 has a paralog, YLR413W, that arose from the whole genome duplication	Verified	chrXI	89284	91536	-1
S000001671	YKL188C	PXA2	PeroXisomal ABC-transporter	Subunit of heterodimeric peroxisomal ABC transport complex, with Pxa1p; required for import of long-chain fatty acids into peroxisomes; similar to human adrenoleukodystrophy transportesr ABCD1 and ABCD2, and ALD-related proteins; mutations in ABCD1 cause X-linked adrenoleukodystrophy (X-ALD), a peroxisomal disorder; human ABCD1 and ABCD2 can each partially complement yeast pxa1 pxa2 double null mutant	Verified	chrXI	86225	88786	-1
S000001672	YKL189W	HYM1	""	Component of the RAM signaling network; is involved in regulation of Ace2p activity and cellular morphogenesis; interacts with Sog2p; allosterically activates Kic1p; localizes to sites of polarized growth during budding and during the mating response	Verified	chrXI	84704	85903	1
S000001673	YKL190W	CNB1	CalciNeurin subunit B	Calcineurin B; regulatory subunit of calcineurin, a Ca++/calmodulin-regulated type 2B protein phosphatase which regulates Crz1p (stress-response transcription factor); other calcineurin subunit encoded by CNA1 and/or CMP1; regulates function of Aly1p alpha-arrestin; myristoylation by Nmt1p reduces calcineurin activity in response to submaximal Ca signals, is needed to prevent constitutive phosphatase activity; protein abundance increases in response to DNA replication stress	Verified	chrXI	82947	83550	1
S000001674	YKL191W	DPH2	DiPHthamide	Protein required for synthesis of diphthamide; required along with Dph1p, Kti11p, Jjj3p, and Dph5p; diphthamide is a modified histidine residue of translation elongation factor 2 (Eft1p or Eft2p); forms a complex with Dph1p that catalyzes the first step of diphthamide biosynthesis	Verified	chrXI	81035	82639	1
S000001675	YKL192C	ACP1	Acyl Carrier Protein	Mitochondrial matrix acyl carrier protein; involved in biosynthesis of octanoate, which is a precursor to lipoic acid; coordinates mitochondrial fatty acid and iron sulfur cluster metabolism; activated by phosphopantetheinylation catalyzed by Ppt2p	Verified	chrXI	80160	80537	-1
S000001676	YKL193C	SDS22	homolog of S. pombe SDS22	Regulatory subunit of the type 1 protein phosphatase (PP1) Glc7p; whether it functions as a positive or negative regulator of Glc7p is controversial; involved in the regulation of Glc7p nuclear localization and function	Verified	chrXI	78866	79882	-1
S000001677	YKL194C	MST1	Mitochondrial aminoacyl-tRNA Synthetase, Threonine	Mitochondrial threonyl-tRNA synthetase; aminoacylates both the canonical threonine tRNA tT(UGU)Q1 and the unusual threonine tRNA tT(UAG)Q2 in vitro; lacks a typical editing domain, but has pre-transfer editing activity stimulated by the unusual tRNA-Thr	Verified	chrXI	77258	78646	-1
S000001678	YKL195W	MIA40	Mitochondrial intermembrane space Import and Assembly	Import and assembly protein in mitochondrial intermembrane space; component of MIA pathway which mediates import and oxidative folding of substrates including small proteins containing twin cysteine motifs; acts in concert with Erv1p, which oxidizes the cysteine residues of Mia40p to comprise a disulfide relay system that catalyzes import; also mediates folding of Atp23p via a chaperone-like activity; forms a dimer that binds iron-sulfur cluster in vitro	Verified	chrXI	75821	77032	1
S000001679	YKL196C	YKT6	""	Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within Golgi, endocytic trafficking to vacuole, and vacuolar fusion; membrane localization due to prenylation at carboxy-terminus; targeted to vacuole via AP-3 pathway; human homolog YKT6 can complement yeast ykt6 mutant	Verified	chrXI	74932	75534	-1
S000001680	YKL197C	PEX1	PEroXin	AAA-peroxin; heterodimerizes with AAA-peroxin Pex6p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; induced by oleic acid and upregulated during anaerobiosis; mutations in human PEX1 can lead to severe peroxisomal disorders and early death	Verified	chrXI	70734	73865	-1
S000001681	YKL198C	PTK1	Putative serine/Threonine protein Kinase	Putative serine/threonine protein kinase; regulates spermine uptake; involved in polyamine transport; possible mitochondrial protein; PTK1 has a paralog, PTK2, that arose from the whole genome duplication	Verified	chrXI	68232	70220	-1
S000001684	YKL201C	MNN4	MaNNosyltransferase	Putative positive regulator of mannosylphosphate transferase Mnn6p; involved in mannosylphosphorylation of N-linked oligosaccharides; may also function as a mannosylphosphate transferase; expression increases in late-logarithmic and stationary growth phases; coding sequence contains length polymorphisms in different strains; MNN4 has a paralog, YJR061W, that arose from the whole genome duplication	Verified	chrXI	63930	67466	-1
S000001685	YKL202W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Dubious	chrXI	63821	64402	1
S000001686	YKL203C	TOR2	Target Of Rapamycin	PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that regulates growth in response to nutrients and TORC2, a complex that regulates plasma membrane (PM) homeostasis and cell-cycle dependent polarization of the actin cytoskeleton; involved in meiosis; PM retention is dependent on Avo3p; malonyl-CoA is a direct ATP-competitive inhibitor of TORC1; TOR2 has a paralog, TOR1, that arose from the whole genome duplication	Verified	chrXI	55935	63359	-1
S000001687	YKL204W	EAP1	EIF4E-Associated Protein	eIF4E-associated protein, competes with eIF4G for binding to eIF4E; accelerates mRNA degradation by promoting decapping, facilitated by interaction with eIF4E; essential for Puf5p mediated repression; associates with Puf5p and Dhh1p; inhibits cap-dependent translation; functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade	Verified	chrXI	53704	55602	1
S000001688	YKL205W	LOS1	Loss Of Suppression	Nuclear pore protein; involved in nuclear export of pre-tRNA and in re-export of mature tRNAs after their retrograde import from the cytoplasm; deletion mutation extends replicative lifespan, as does exclusion of Los1p from the nucleus in response to caloric restriction	Verified	chrXI	50051	53353	1
S000001689	YKL206C	ADD66	Alpha1-proteinase inhibitor-Degradation Deficient	Protein involved in 20S proteasome assembly; forms a heterodimer with Pba1p that binds to proteasome precursors; interaction with Pba1p-Add66p may affect function of the mature proteasome and its role in maintaining respiratory metabolism; similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly	Verified	chrXI	49006	49809	-1
S000001690	YKL207W	EMC3	ER Membrane protein Complex	Member of conserved ER transmembrane complex; required for efficient folding of proteins in the ER; required for respiratory growth; null mutant displays induction of the unfolded protein response; homologous to worm Y62E10A.10/EMC-3, fly CG6750, human TMEM111	Verified	chrXI	48194	48955	1
S000001691	YKL208W	CBT1	Cytochrome B Termination	Protein involved in 5' RNA end processing; substrates include mitochondrial COB, 15S_rRNA, and RPM1 transcripts; may also have a role in 3' end processing of the COB pre-mRNA; displays genetic interaction with cell cycle-regulated kinase Dbf2p	Verified	chrXI	47157	47972	1
S000001692	YKL209C	STE6	STErile	Plasma membrane ATP-binding cassette (ABC) transporter; required for the export of a-factor, catalyzes ATP hydrolysis coupled to a-factor transport; contains 12 transmembrane domains and two ATP binding domains; expressed only in MATa cells; human homolog ABCB1 mediates multidrug resistance in many chemotherapy-resistant tumors by effluxing toxic compounds from the cell	Verified	chrXI	42423	46295	-1
S000001693	YKL210W	UBA1	UBiquitin Activating	Ubiquitin activating enzyme (E1); involved in ubiquitin-mediated protein degradation and essential for viability; protein abundance increases in response to DNA replication stress	Verified	chrXI	39163	42237	1
S000001694	YKL211C	TRP3	TRyPtophan	Indole-3-glycerol-phosphate synthase; forms bifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p	Verified	chrXI	36699	38153	-1
S000001695	YKL212W	SAC1	Suppressor of ACtin	Phosphatidylinositol phosphate phosphatase; role in early and medial Golgi PtdIns4P hydrolysis; regulated by Vps74p interaction; ER localized transmembrane protein which cycles through the Golgi; role in protein trafficking, processing, secretion, and cell wall maintenance; regulates sphingolipid biosynthesis by modulating PtdIns(4)P metabolism; PtdIns4P PPase activity is crucial for autophagosome-vacuole fusion during autophagy; human homolog SACM1L complements autophagy defects of the null	Verified	chrXI	34543	36414	1
S000001696	YKL213C	DOA1	Degradation Of Alpha	WD-repeat protein involved in Ub-mediated proteolysis; K48-, K29-specific Ub chain binding protein involved in Ub homeostasis; substrate-recruiting adaptor for Cdc48p in mitochondria-associated degradation; inhibits degradation of Ufd2p-dependent substrates; facilitates proteolysis of Cse4p, a centromeric H3-like protein; required for ribophagy; promotes NHEJ in postdiauxic/stationary phase; protein increases in abundance and relocalizes from nucleus to nuclear periphery upon replication stress	Verified	chrXI	31960	34107	-1
S000001697	YKL214C	YRA2	Yeast RNA Annealing protein	Member of the REF (RNA and export factor binding proteins) family; when overexpressed, can substitute for the function of Yra1p in export of poly(A)+ mRNA from the nucleus	Verified	chrXI	31082	31693	-1
S000001698	YKL215C	OXP1	OXoProlinase	5-oxoprolinase; enzyme is ATP-dependent and functions as a dimer; similar to mouse Oplah gene; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; protein abundance increases in response to DNA replication stress	Verified	chrXI	26827	30687	-1
S000001699	YKL216W	URA1	URAcil requiring	Dihydroorotate dehydrogenase; catalyzes the fourth enzymatic step in the de novo biosynthesis of pyrimidines, converting dihydroorotic acid into orotic acid	Verified	chrXI	25215	26159	1
S000001700	YKL217W	JEN1	""	Monocarboxylate/proton symporter of the plasma membrane; transport activity is dependent on the pH gradient across the membrane; mediates high-affinity uptake of carbon sources lactate, pyuvate, and acetate, and also of the micronutrient selenite, whose structure mimics that of monocarboxylates; expression and localization are tightly regulated, with transcription repression, mRNA degradation, and protein endocytosis and degradation all occurring in the presence of glucose	Verified	chrXI	22234	24084	1
S000001701	YKL218C	SRY1	Serine Racemase of Yeast	3-hydroxyaspartate dehydratase; deaminates L-threo-3-hydroxyaspartate to form oxaloacetate and ammonia; required in the presence of hydroxyaspartate; highly similar to mouse serine racemase (Srr) but has no serine racemase activity	Verified	chrXI	17359	18339	-1
S000001702	YKL219W	COS9	COnserved Sequence	Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins	Verified	chrXI	14485	15708	1
S000001703	YKL220C	FRE2	Ferric REductase	Ferric reductase and cupric reductase; reduces siderophore-bound iron and oxidized copper prior to uptake by transporters; expression induced by low iron levels but not by low copper levels	Verified	chrXI	9091	11226	-1
S000001704	YKL221W	MCH2	MonoCarboxylate permease Homologue	Protein with similarity to mammalian monocarboxylate permeases; monocarboxylate permeases are involved in transport of monocarboxylic acids across the plasma membrane but mutant is not deficient in monocarboxylate transport	Verified	chrXI	6107	7528	1
S000001705	YKL222C	""	""	Protein of unknown function; may interact with ribosomes, based on co-purification experiments; similar to transcriptional regulators from the zinc cluster (binuclear cluster) family; null mutant is sensitive to caffeine	Verified	chrXI	3503	5620	-1
S000001706	YKL223W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Dubious	chrXI	2389	2721	1
S000001707	YKL224C	PAU16	seriPAUperin	Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions; SWAT-GFP and mCherry fusion proteins localize to the vacuole	Verified	chrXI	1810	2181	-1
S000001708	YKL225W	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data	Dubious	chrXI	451	798	1
S000001709	YKR001C	VPS1	Vacuolar Protein Sorting	Dynamin-like GTPase required for vacuolar sorting; promotes fission of retrograde transport carriers from endosome; also involved in actin cytoskeleton organization, endocytosis, late Golgi-retention of some proteins, regulation of peroxisome biogenesis	Verified	chrXI	440608	442722	-1
S000001710	YKR002W	PAP1	Poly(A) Polymerase	Poly(A) polymerase; one of three factors required for mRNA 3'-end polyadenylation, forms multiprotein complex with polyadenylation factor I (PF I), also required for mRNA nuclear export; may also polyadenylate rRNAs; required for gene looping	Verified	chrXI	443232	444938	1
S000001711	YKR003W	OSH6	OxySterol binding protein Homolog	Oxysterol-binding  phosphatidylserine transferase; family members have overlapping, redundant functions in sterol metabolism and collectively perform a function essential for viability; GFP-fusion protein localizes to the cell periphery; overexpression extends lifespan by promoting vacuolar fusion; OSH6 has a paralog, OSH7, that arose from the whole genome duplication	Verified	chrXI	445381	446727	1
S000001712	YKR004C	ECM9	ExtraCellular Mutant	Non-essential protein of unknown function	Verified	chrXI	446799	448036	-1
S000001713	YKR005C	""	""	Putative protein of unknown function	Uncharacterized	chrXI	448521	450167	-1
S000001714	YKR006C	MRPL13	Mitochondrial Ribosomal Protein, Large subunit	Mitochondrial ribosomal protein of the large subunit; not essential for mitochondrial translation	Verified	chrXI	450423	451217	-1
S000001715	YKR007W	MEH1	Multicopy suppressor of Ers1 Hygromycin B sensitivity	Subunit of EGO/GSE complex; vacuolar/endosomal membrane-associated EGO/GSE complex regulates exit from rapamycin-induced growth arrest, stimulating microautophagy and sorting of Gap1p from endosome to plasma membrane; targeted to vacuole via AP-3 pathway; loss results in defect in vacuolar acidification	Verified	chrXI	451434	451988	1
S000001716	YKR008W	RSC4	Remodel the Structure of Chromatin	Component of the RSC chromatin remodeling complex; found in close proximity to nucleosomal DNA; displaced from the surface of nucleosomal DNA after chromatin remodeling; acetylated (K25) by Gcn5p, altering replication stress tolerance; contains tandem bromodomains that recognize histone H3 acetylated on K14 (H3K14ac) by Gcn5p	Verified	chrXI	452201	454078	1
S000001717	YKR009C	FOX2	Fatty acid OXidation	3-hydroxyacyl-CoA dehydrogenase and enoyl-CoA hydratase; multifunctional enzyme of the peroxisomal fatty acid beta-oxidation pathway; mutation is functionally complemented by human HSD17B4	Verified	chrXI	454352	457054	-1
S000001718	YKR010C	TOF2	TOpoisomerase I-interacting Factor	Protein required for rDNA silencing and mitotic rDNA condensation; stimulates Cdc14p phosphatase activity and biphasic release to promote rDNA repeat segregation; required for condensin recruitment to the replication fork barrier site; TOF2 has a paralog, NET1, that arose from the whole genome duplication	Verified	chrXI	458924	461239	-1
S000001719	YKR011C	""	""	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; protein abundance increases in response to DNA replication stress	Verified	chrXI	461635	462696	-1
S000001720	YKR012C	""	""	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene PRY2	Dubious	chrXI	463739	464116	-1
S000001721	YKR013W	PRY2	Pathogen Related in Yeast	Sterol binding protein involved in the export of acetylated sterols; role in sterol export is redundant with that of PRY1; redundant role with PRY1 and PRY3 in the export of free fatty acids; may be involved in detoxification of hydrophobic compounds; secreted glycoprotein and member of the CAP protein superfamily (cysteine-rich secretory proteins (CRISP), antigen 5, and pathogenesis related 1 proteins)	Verified	chrXI	463959	464948	1
S000001722	YKR014C	YPT52	Yeast Protein Two	Endosomal Rab family GTPase; required for vacuolar protein sorting, endocytosis and multivesicular body (MVB) biogenesis and sorting; required for localization of the CORVET complex to endosomes; involved in autophagy and ionic stress tolerance; similar to Vps21p and Ypt53p; mammalian Rab5 homolog; protein abundance increases in response to DNA replication stress	Verified	chrXI	465367	466071	-1
S000001723	YKR015C	""	""	Putative protein of unknown function	Uncharacterized	chrXI	466961	468667	-1
S000001724	YKR016W	MIC60	MItochondrial contact site and Cristae organizing system	Component of the MICOS complex; MICOS (formerly MINOS or MitOS) is a mitochondrial inner membrane complex that extends into the intermembrane space and has a role in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane; Mic60p is also involved in import of intermembrane space (IMS) proteins, probably by positioning Mia40p relative to the TOM complex to receive incoming proteins; ortholog of mammalian mitofilin	Verified	chrXI	469717	471339	1
S000001725	YKR017C	HEL1	Histone E3 Ligase	RING finger ubiquitin ligase (E3); involved in ubiquitination and degradation of excess histones; interacts with Ubc4p and Rad53p; null mutant sensitive to hydroxyurea (HU)	Verified	chrXI	471694	473349	-1
S000001726	YKR018C	""	""	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; protein abundance increases in response to DNA replication stress; YKR018C has a paralog, IML2, that arose from the whole genome duplication	Verified	chrXI	473723	475900	-1
S000001727	YKR019C	IRS4	Increased rDNA Silencing	EH domain-containing protein; involved in regulating phosphatidylinositol 4,5-bisphosphate levels and autophagy; Irs4p and Tax4p bind and activate the PtdIns phosphatase Inp51p; Irs4p and Tax4p are involved in localizing Atg17p to the PAS; IRS4 has a paralog, TAX4, that arose from the whole genome duplication	Verified	chrXI	476216	478063	-1
S000001728	YKR020W	VPS51	Vacuolar Protein Sorting	Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; links the (VFT/GARP) complex to the SNARE Tlg1p; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p	Verified	chrXI	478338	478832	1
S000001729	YKR021W	ALY1	Arrestin-Like Yeast protein	Alpha arrestin, substrate of calcineurin; controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; dephosphorylation of Aly1p required for the endocytosis of Dip5p; may regulate endocytosis of plasma membrane proteins by recruiting ubiquitin ligase Rsp5p to plasma membrane targets; ALY1 has a paralog, ALY2, that arose from the whole genome duplication	Verified	chrXI	479234	481981	1
S000001730	YKR022C	NTR2	NineTeen complex Related protein	Essential protein that forms a dimer with Ntr1p; also forms a trimer, with Ntr2p and the DExD/H-box RNA helicase Prp43p, that is involved in spliceosome disassembly	Verified	chrXI	482171	483139	-1
S000001731	YKR023W	RQT4	Ribosome-Quality control Trigger factor	Subunit of ribosome-associated quality control trigger complex (RQT); the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Verified	chrXI	483419	485011	1
S000001732	YKR024C	DBP7	Dead Box Protein	Putative ATP-dependent RNA helicase of the DEAD-box family; involved in ribosomal biogenesis; required at post-transcriptional step for efficient retrotransposition; essential for growth under anaerobic conditions	Verified	chrXI	485144	487372	-1
S000001733	YKR025W	RPC37	RNA Polymerase C	RNA polymerase III subunit C37	Verified	chrXI	487770	488618	1
